Category,ComponentOne,ComponentTwo,ComponentOneLicense,ComponentTwoLicense,LicenseTerm,TermValueOne,TermValueTwo,TermDescriptionOne,TermDescriptionTwo
LEGAL,airframe-jmx 0.41,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.41,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.41,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-actor 2.5.10,akka-cdi 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-actor 2.5.10,akka-http-hal 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-actor 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-actor 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cdi 1.4.9,akka-cluster 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-cluster 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-cluster-sharding 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-cluster-sharding-typed 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-cluster-typed 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-contrib 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-stream 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-stream-alpakka-solr 0.17,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-stream-alpakka-unix-domain-socket 0.20,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-stream-testkit 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-testkit 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,akka-testkit-typed 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,ant-antlr 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,ant-apache-bsf 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,ant-apache-oro 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,ant:ant-apache-bcel 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,Apache Ant 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,Apache Tomcat 7.0.52,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:extras 0.54,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:extras 0.55,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:extras 0.56,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:extras 0.57,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:processor 0.54,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:processor 0.55,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:processor 0.56,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cdi 1.4.9,arez:processor 0.57,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-cluster 2.5.10,akka-http-hal 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-cluster 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster 2.5.10,akka-http-hal 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-cluster 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster-sharding 2.5.10,akka-http-hal 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-cluster-sharding 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster-sharding 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster-sharding-typed 2.5.10,akka-http-hal 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-cluster-sharding-typed 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster-sharding-typed 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster-typed 2.5.10,akka-http-hal 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-cluster-typed 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-cluster-typed 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-contrib 2.5.10,akka-http-hal 1.4.9,Apache License 2.0,"BSD 3-clause ""New"" or ""Revised"" License",Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,akka-contrib 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-contrib 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-http-hal 1.4.9,akka-stream 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,akka-stream-alpakka-solr 0.17,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,akka-stream-alpakka-unix-domain-socket 0.20,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,akka-stream-testkit 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,akka-testkit 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,akka-testkit-typed 2.5.10,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,ant-antlr 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,ant-apache-bsf 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,ant-apache-oro 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,ant:ant-apache-bcel 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,Apache Ant 1.7.1,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,Apache Tomcat 7.0.52,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:extras 0.54,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:extras 0.55,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:extras 0.56,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:extras 0.57,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:processor 0.54,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:processor 0.55,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:processor 0.56,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-http-hal 1.4.9,arez:processor 0.57,"BSD 3-clause ""New"" or ""Revised"" License",Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,akka-stream 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-stream 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-stream-alpakka-solr 0.17,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-stream-alpakka-solr 0.17,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-stream-alpakka-unix-domain-socket 0.20,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-stream-alpakka-unix-domain-socket 0.20,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-stream-testkit 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-stream-testkit 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-testkit 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-testkit 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-testkit-typed 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,akka-testkit-typed 2.5.10,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant-antlr 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant-antlr 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant-apache-bsf 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant-apache-bsf 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant-apache-oro 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant-apache-oro 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant:ant-apache-bcel 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.0-129,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ant:ant-apache-bcel 1.7.1,Mobicents Simple alarm listener :: SimpleAlarmListener-core 8.0.62,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache ActiveMQ 5.13.5,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache Extras Companion for log4j 1.2. 1.2.17,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache jclouds :: Azure :: Compute API 2.1.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,api-capture-info 1.4.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,api-capture-info-schemas 1.4.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,api-capture-playout 1.0.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,api-manager-test 3.0.0-m18,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,axion-release-plugin 1.9.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,Axon Framework Spring Support 3.1.3,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,Axon Metrics 3.1.3,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,axonhub-grpc-proto 1.0-beta3,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,com.springsource.org.apache.axis 1.4.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,jolokia-core 1.5.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,jolokia-jvm 1.5.0,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,AOP Alliance (Java/J2EE AOP standard) 1.0,json-simple 1.1.1,Public Domain,Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,Apache ActiveMQ 5.13.5,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,Apache ActiveMQ 5.13.5,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,Apache ActiveMQ 5.13.5,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,Apache ActiveMQ 5.13.5,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,Apache ActiveMQ 5.13.5,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
